City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,Songjianghe,42.1859,127.479,3.72,83,6,5.17,CN,1643500127
110,Cayenne,4.9333,-52.3333,79.09,86,0,0.0,GF,1643500127
111,Pauini,-7.7136,-66.9764,73.8,98,94,0.78,BR,1643500128
112,Lüderitz,-26.6481,15.1594,67.44,78,74,7.54,NA,1643500128
113,Mirwah,13.9228,43.9176,63.82,80,62,2.33,YE,1643500128
114,Menfi,37.6066,12.9678,52.18,78,24,8.25,IT,1643500129
115,Yueyang,29.3333,113.0919,33.44,91,41,4.56,CN,1643500129
116,Parkersburg,39.2667,-81.5615,20.01,38,0,3.44,US,1643499894
117,Ocós,14.5094,-92.1933,82.9,70,41,7.38,GT,1643500129
118,Nikolskoye,59.7035,30.7861,27.72,87,100,16.28,RU,1643500130
119,Hambantota,6.1241,81.1185,77.79,82,78,7.54,LK,1643500130
120,Hong Kong,22.2855,114.1577,58.24,81,80,1.01,HK,1643499957
121,Cam Ranh,11.9214,109.1591,73.36,88,20,1.14,VN,1643500131
122,Hilo,19.7297,-155.09,82.13,52,40,10.36,US,1643499946
123,Isangel,-19.55,169.2667,78.91,94,90,10.36,VU,1643500131
124,Ismailia,30.6043,32.2723,52.32,69,65,7.11,EG,1643499870
125,Pevek,69.7008,170.3133,-17.34,99,95,3.71,RU,1643500132
126,Bambous Virieux,-20.3428,57.7575,79.05,78,40,6.91,MU,1643500132
127,Kavaratti,10.5669,72.642,80.42,74,54,8.3,IN,1643500132
128,Oak Ridge,36.0104,-84.2696,29.43,46,5,1.01,US,1643499846
129,Shellbrook,53.2168,-106.4011,16.83,98,30,4.68,CA,1643500133
130,East London,-33.0153,27.9116,69.28,86,67,7.05,ZA,1643500013
131,Teya,60.3778,92.6267,-0.92,100,99,2.68,RU,1643500133
132,Vila Velha,-20.3297,-40.2925,79.95,85,20,8.01,BR,1643500020
133,Puerto Escondido,15.85,-97.0667,80.58,68,0,3.49,MX,1643500134
134,Hasaki,35.7333,140.8333,39.29,55,67,19.89,JP,1643500134
135,Saravan,39.7196,45.6483,12.85,89,79,6.15,AM,1643500134
136,Norman Wells,65.282,-126.8329,-25.56,68,75,0.0,CA,1643500135
137,Waipawa,-41.4122,175.5153,72.23,44,36,9.04,NZ,1643500135
138,Kulhudhuffushi,6.6221,73.07,81.97,74,97,17.92,MV,1643500136
139,Marsabit,2.3284,37.9899,66.83,59,28,7.81,KE,1643500136
140,Dingle,10.9995,122.6711,79.03,83,11,1.21,PH,1643500136
141,Emerald,-23.5333,148.1667,84.34,54,13,10.36,AU,1643500137
142,Mahébourg,-20.4081,57.7,79.09,78,40,6.91,MU,1643500138
143,Malé,4.1748,73.5089,82.35,74,75,6.91,MV,1643500138
144,Osmeña,10.5208,119.9258,79.7,79,13,2.51,PH,1643500139
145,Waingapu,-9.6567,120.2641,81.95,76,100,11.54,ID,1643500139
146,Hithadhoo,-0.6,73.0833,80.82,68,76,3.85,MV,1643500139
147,Nizhniy Tsasuchey,50.5167,115.1333,-13.61,96,14,5.59,RU,1643500139
148,Ko Samui,9.5357,99.9357,80.89,75,17,8.12,TH,1643500140
149,Saldanha,-33.0117,17.9442,64.45,84,0,13.91,ZA,1643500140
150,Mar del Plata,-38.0023,-57.5575,78.82,47,0,6.91,AR,1643500140
151,Faanui,-16.4833,-151.75,80.76,71,18,8.19,PF,1643500141
152,Santarém,-2.4431,-54.7083,77.13,94,75,10.36,BR,1643500091
153,Cidreira,-30.1811,-50.2056,71.65,63,32,12.3,BR,1643500201
154,Katsuura,35.1333,140.3,44.19,61,64,18.21,JP,1643500202
155,Standerton,-26.9337,29.2415,60.62,85,98,7.83,ZA,1643500202
156,Vao,-22.6667,167.4833,79.39,85,61,13.91,NC,1643500203
157,Inverell,-29.7833,151.1167,84.67,55,33,4.0,AU,1643500203
158,Airai,-8.9266,125.4092,64.87,83,100,3.71,TL,1643500203
159,Chui,-33.6971,-53.4616,66.6,77,12,8.01,UY,1643500204
160,Lithakia,37.7167,20.8333,45.77,66,64,21.18,GR,1643500204
161,Baryshivka,50.361,31.3217,29.26,89,100,12.62,UA,1643500205
162,Henties Bay,-22.116,14.2845,61.86,83,46,3.18,NA,1643500205
163,Mackay,-21.15,149.2,83.68,78,37,13.8,AU,1643500205
164,Aquiraz,-3.9014,-38.3911,79.18,83,94,8.05,BR,1643500208
165,Saskylakh,71.9167,114.0833,-20.06,100,99,3.44,RU,1643500208
166,Coruripe,-10.1256,-36.1756,77.31,66,100,8.32,BR,1643500209
167,Iqaluit,63.7506,-68.5145,-11.47,64,75,8.05,CA,1643500209
168,Mount Darwin,-16.7725,31.5838,66.31,98,100,1.99,ZW,1643500210
169,Puerto Baquerizo Moreno,-0.9,-89.6,74.66,81,27,7.99,EC,1643500210
170,Boa Vista,2.8197,-60.6733,84.18,51,20,8.05,BR,1643500211
171,Narrabri,-30.3167,149.7833,83.52,60,52,2.21,AU,1643500211
172,Okhotsk,59.3833,143.3,13.15,79,99,15.97,RU,1643500212
173,Gore,-46.1028,168.9436,57.54,97,100,3.38,NZ,1643500212
174,Umluj,25.0213,37.2685,61.7,49,0,11.83,SA,1643500212
175,Zunyi,27.6867,106.9072,33.39,92,81,3.56,CN,1643500213
176,Pangody,65.85,74.4859,-6.74,96,98,8.68,RU,1643500213
177,Touros,-5.1989,-35.4608,77.9,82,85,9.66,BR,1643500213
178,Esperance,-33.8667,121.9,69.64,59,0,9.89,AU,1643500214
179,Tasiilaq,65.6145,-37.6368,9.34,77,99,5.97,GL,1643500214
180,Mogadishu,2.0371,45.3438,76.91,79,49,19.1,SO,1643500214
181,Southampton,50.904,-1.4043,43.65,81,20,1.01,GB,1643499952
182,Guabito,9.5,-82.6167,74.66,82,58,3.29,PA,1643500215
183,Lompoc,34.6391,-120.4579,71.08,51,0,11.5,US,1643500216
184,Uvalde,29.3669,-99.767,63.55,20,0,6.91,US,1643500216
185,Cabo San Lucas,22.8909,-109.9124,77.61,55,10,4.0,MX,1643500217
186,Ariquemes,-9.9133,-63.0408,72.07,99,100,2.89,BR,1643500218
187,Palimbang,6.2106,124.1894,81.46,74,79,1.23,PH,1643500219
188,Ridgecrest,35.6225,-117.6709,59.47,12,0,0.0,US,1643500220
189,Wojkowice,50.3651,19.0365,40.28,93,75,10.0,PL,1643500220
190,Chokurdakh,70.6333,147.9167,-11.02,86,100,1.3,RU,1643500220
191,Haines Junction,60.7522,-137.5108,13.95,67,100,11.5,CA,1643500221
192,Petropavlovsk-Kamchatskiy,53.0452,158.6483,23.59,80,75,2.24,RU,1643500221
193,Bowen,-20.0167,148.2333,84.42,60,8,10.83,AU,1643500221
194,Carnarvon,-24.8667,113.6333,78.87,83,75,10.36,AU,1643500221
195,Buluang,13.3068,123.3425,79.68,84,36,2.64,PH,1643500222
196,Padang,-0.9492,100.3543,75.25,92,95,5.17,ID,1643500222
197,Arraial do Cabo,-22.9661,-42.0278,73.96,95,87,13.24,BR,1643500222
198,Mokhsogollokh,61.4681,128.9203,-28.53,100,93,3.13,RU,1643500223
199,Richards Bay,-28.783,32.0377,69.76,86,31,0.54,ZA,1643500223
200,Bengkulu,-3.8004,102.2655,76.26,90,100,4.14,ID,1643500223
201,Werda,-25.2667,23.2833,72.23,70,81,12.73,BW,1643500224
202,Severo-Kuril'sk,50.6789,156.125,24.87,82,96,17.74,RU,1643500229
203,Kumul,42.8,93.45,20.07,44,1,4.14,CN,1643500229
204,Kirakira,-10.4544,161.9205,84.42,75,100,10.49,SB,1643500290
205,Burnie,-41.0667,145.9167,72.95,62,51,4.97,AU,1643500290
206,Zhezkazgan,47.8043,67.7144,9.01,97,76,8.88,KZ,1643500290
207,Tevaitoa,-16.7833,-151.5,79.79,75,25,9.8,PF,1643500291
208,Mtwara,-10.2667,40.1833,75.51,90,100,7.63,TZ,1643500291
209,Kathmandu,27.7167,85.3167,39.42,93,20,2.3,NP,1643500127
210,Portland,45.5234,-122.6762,54.37,54,75,1.01,US,1643500197
211,Clyde River,70.4692,-68.5914,-7.37,64,100,11.5,CA,1643500292
212,Savinka,50.0785,47.0994,32.83,98,100,17.05,RU,1643500292
213,Miles City,46.4083,-105.8406,40.17,48,0,8.05,US,1643500292
214,Morondava,-20.2833,44.2833,78.31,83,0,6.87,MG,1643500293
215,Souillac,-20.5167,57.5167,79.18,78,40,6.91,MU,1643500293
216,Behbahān,30.5959,50.2417,49.32,52,64,2.77,IR,1643500293
217,Prado,-17.3411,-39.2208,78.51,84,1,12.37,BR,1643500294
218,Yerbogachën,61.2767,108.0108,-8.36,98,92,3.22,RU,1643500294
219,Krumovgrad,41.4667,25.65,37.04,78,21,1.83,BG,1643500295
220,North Las Vegas,36.1989,-115.1175,63.84,11,0,3.44,US,1643500296
221,Lorengau,-2.0226,147.2712,84.33,71,87,7.34,PG,1643500296
222,Sola,-13.8833,167.55,82.69,78,90,19.1,VU,1643500297
223,Sechura,-5.5569,-80.8222,75.52,67,46,13.51,PE,1643500297
224,Kożuchów,51.7456,15.5949,43.66,66,96,27.25,PL,1643500297
225,Faya,18.3851,42.4509,53.71,83,1,5.75,SA,1643500298
226,Itarema,-2.9248,-39.9167,78.66,73,98,9.75,BR,1643500299
227,Laguna,38.421,-121.4238,66.49,41,0,3.0,US,1643500299
228,Ishigaki,24.3448,124.1572,64.53,94,75,13.8,JP,1643500300
229,Codrington,-38.2667,141.9667,69.03,82,94,8.21,AU,1643500300
230,Ampanihy,-24.7,44.75,67.46,97,4,5.68,MG,1643500300
231,Morant Bay,17.8815,-76.4093,80.22,78,27,4.83,JM,1643500301
232,Kloulklubed,7.0419,134.2556,81.82,77,87,11.52,PW,1643500301
233,Gurlan,41.8447,60.3919,21.11,84,5,6.13,UZ,1643500301
234,Mehamn,71.0357,27.8492,15.82,88,91,4.16,NO,1643500302
235,Sokolo,14.7328,-6.1219,76.59,14,3,13.24,ML,1643500302
236,Marsá Maţrūḩ,31.3525,27.2453,52.0,66,40,9.22,EG,1643500302
237,Guerrero Negro,27.9769,-114.0611,66.6,33,49,12.3,MX,1643500303
238,Baykit,61.67,96.37,-10.52,100,98,1.52,RU,1643500303
239,Durban,-29.8579,31.0292,72.01,92,92,3.0,ZA,1643500005
240,Qui Nhon,13.7667,109.2333,71.89,87,96,5.82,VN,1643500303
241,Port Elizabeth,-33.918,25.5701,66.49,88,0,8.05,ZA,1643500304
242,Beruwala,6.4788,79.9828,77.79,79,61,0.89,LK,1643500304
243,Tongren,27.7172,109.1853,35.69,92,90,0.65,CN,1643500304
244,Kyrylivka,46.3759,35.3675,32.22,80,60,15.55,UA,1643500305
245,Wattegama,6.7989,81.4808,72.61,94,47,2.17,LK,1643500305
246,Rio Grande,-32.035,-52.0986,71.94,65,0,13.33,BR,1643500305
247,Rocha,-34.4833,-54.3333,64.74,80,2,7.43,UY,1643500306
248,Ust-Kuyga,70.0167,135.6,-33.61,100,99,6.96,RU,1643500306
249,Nizwá,22.9333,57.5333,64.99,46,2,1.43,OM,1643500307
250,Berdigestyakh,62.0989,126.6992,-23.8,100,100,2.48,RU,1643500307
251,Billings Metropolitan Area,45.7833,-108.5007,51.57,17,75,14.97,US,1643500238
252,Yellowknife,62.456,-114.3525,-10.44,77,75,9.22,CA,1643500049
253,College,64.8569,-147.8028,-6.0,71,40,0.0,US,1643500308
254,La Ronge,55.1001,-105.2842,10.65,72,100,3.44,CA,1643500309
255,São José da Coroa Grande,-8.8978,-35.1478,76.37,80,99,4.34,BR,1643500369
256,San Miguelito,9.0333,-79.5,80.04,71,40,1.99,PA,1643500371
257,Acapulco de Juárez,16.8634,-99.8901,81.68,68,8,10.18,MX,1643500316
258,Hobyo,5.3505,48.5268,75.6,75,39,19.15,SO,1643500381
259,Shiraz,29.6036,52.5388,36.84,93,40,0.0,IR,1643500097
260,Dharmadam,11.7833,75.4333,74.46,76,6,3.8,IN,1643500381
261,Naze,28.3667,129.4833,56.32,76,98,12.68,JP,1643500389
262,Barabai,-2.5833,115.3833,76.75,81,97,0.74,ID,1643500389
263,Balkanabat,39.5108,54.3671,40.28,62,3,2.68,TM,1643500390
264,Buin,-33.7333,-70.75,75.52,67,0,5.91,CL,1643500391
265,Sidi Ali,36.0998,0.4206,49.24,39,0,7.83,DZ,1643500392
266,Esim,4.8699,-2.2405,79.25,89,84,5.01,GH,1643500393
267,Sergeevka,53.88,67.4158,3.33,97,100,6.06,KZ,1643500394
268,Nagykáta,47.4151,19.7441,39.33,81,100,18.48,HU,1643500394
269,Constitución,-35.3333,-72.4167,59.09,92,44,7.87,CL,1643500394
270,Athabasca,54.7169,-113.2854,27.86,89,78,4.83,CA,1643500395
271,Wamba,8.9333,8.6,68.16,20,97,4.5,NG,1643500395
272,Salalah,17.0151,54.0924,68.45,63,22,2.01,OM,1643500396
273,Nantucket,41.2835,-70.0995,26.71,80,100,32.21,US,1643500396
274,Vostochnyy,55.8167,37.8667,23.27,99,91,3.2,RU,1643500396
275,Saint-Pierre,-21.3393,55.4781,76.68,73,11,3.44,RE,1643500397
276,Koumac,-20.5667,164.2833,83.64,72,64,6.49,NC,1643500397
277,Khilok,51.3674,110.4676,-18.29,99,85,2.21,RU,1643500397
278,Puerto del Rosario,28.5004,-13.8627,64.08,77,0,8.05,ES,1643500398
279,Tokur,53.1333,132.9,-21.78,98,97,1.77,RU,1643500398
280,Satara,17.6833,73.9833,59.59,41,52,0.74,IN,1643500398
281,Cockburn Town,21.4612,-71.1419,78.76,69,40,9.22,TC,1643500399
282,Awjilah,29.1081,21.2869,53.62,40,21,16.53,LY,1643500399
283,Erechim,-27.6342,-52.2739,64.44,89,80,5.61,BR,1643500407
284,Abu Dhabi,24.4667,54.3667,66.96,79,0,1.14,AE,1643500340
285,Cancún,21.1743,-86.8466,68.05,64,91,12.3,MX,1643500234
286,Zaysan,47.4667,84.8667,-4.99,87,100,2.66,KZ,1643500407
287,Mokrousovo,55.8103,66.7653,5.7,92,100,5.79,RU,1643500408
288,Yangi Marg`ilon,40.4272,71.7189,34.52,93,75,6.91,UZ,1643500408
289,Beringovskiy,63.05,179.3167,-9.04,99,93,2.46,RU,1643500418
290,Bubaque,11.2833,-15.8333,78.98,69,93,16.69,GW,1643500419
291,Ampére,-25.915,-53.4728,66.54,83,100,6.22,BR,1643500419
292,Zhigansk,66.7697,123.3711,-32.55,100,99,3.13,RU,1643500419
293,Raudeberg,61.9875,5.1352,41.2,82,100,11.01,NO,1643500420
294,Caşin,46.2,26.75,34.81,70,70,6.8,RO,1643500423
295,Nísia Floresta,-6.0911,-35.2086,79.18,83,99,6.64,BR,1643500423
296,Inta,66.0317,60.1659,8.69,84,99,8.3,RU,1643500424
297,Tuatapere,-46.1333,167.6833,58.96,93,100,4.63,NZ,1643500424
298,Oksovskiy,62.6062,39.8984,5.2,98,100,5.48,RU,1643500425
299,Tāybād,34.74,60.7756,37.29,77,0,3.15,IR,1643500425
300,Anandnagar,27.1,83.2833,46.58,84,0,6.53,IN,1643500426
301,Praia da Vitória,38.7333,-27.0667,59.25,82,75,11.63,PT,1643500426
302,Bayir,37.2687,28.2167,43.32,79,100,5.12,TR,1643500427
303,Ferrandina,40.5012,16.4547,39.97,69,5,8.48,IT,1643500427
304,Lagoa,39.05,-27.9833,58.42,73,59,15.01,PT,1643500428
305,Yar-Sale,66.8333,70.8333,-10.05,98,86,8.7,RU,1643500429
306,Bathsheba,13.2167,-59.5167,77.61,73,40,17.27,BB,1643500493
307,Baker City,44.7749,-117.8344,30.6,77,57,4.38,US,1643500493
308,Nouakchott,18.0858,-15.9785,67.93,65,100,15.75,MR,1643500494
